,Time,Date,Strefa1,Strefa2,Strefa3,Strefa4,Strefa5,Strefa6,Strefa7,Strefa8,Strefa9,Strefa10,Date_time
131,16:52:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:52:39
132,16:54:39,18/06/2018,255,248,0,0,0,0,0,0,0,0,2018-06-18 16:54:39
133,16:56:39,18/06/2018,255,248,0,0,0,0,0,0,0,0,2018-06-18 16:56:39
134,16:58:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 16:58:39
135,17:00:39,18/06/2018,255,248,0,0,0,0,0,0,0,0,2018-06-18 17:00:39
136,17:02:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:02:39
137,17:04:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:04:39
138,17:06:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:06:39
139,17:08:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:08:39
140,17:10:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:10:39
141,17:12:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:12:39
142,17:14:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:14:39
143,17:16:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:16:39
144,17:18:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:18:39
145,17:20:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:20:39
146,17:22:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:22:39
147,17:24:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:24:39
148,17:26:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:26:39
149,17:28:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:28:39
150,17:30:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:30:39
151,17:32:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:32:39
152,17:34:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:34:39
153,17:36:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:36:39
154,17:38:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:38:39
155,17:40:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:40:39
156,17:42:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:42:39
157,17:44:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:44:39
158,17:46:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:46:39
159,17:48:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:48:39
160,17:50:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:50:39
161,17:52:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:52:39
162,17:54:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:54:39
163,17:56:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:56:39
164,17:58:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 17:58:39
165,18:00:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:00:39
166,18:02:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:02:39
167,18:04:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:04:39
168,18:06:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:06:39
169,18:08:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:08:39
170,18:10:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:10:39
171,18:12:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:12:39
172,18:14:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:14:39
173,18:16:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:16:39
174,18:18:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:18:39
175,18:20:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:20:39
176,18:22:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:22:39
177,18:24:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:24:39
178,18:26:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:26:39
179,18:28:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:28:39
180,18:30:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:30:39
181,18:32:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:32:39
182,18:34:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:34:39
183,18:36:40,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:36:40
184,18:38:40,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:38:40
185,18:40:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:40:39
186,18:42:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:42:39
187,18:44:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:44:39
188,18:46:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:46:39
189,18:48:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:48:39
190,18:50:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:50:39
191,18:52:40,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:52:40
192,18:54:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:54:39
193,18:56:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:56:39
194,18:58:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 18:58:39
195,19:00:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:00:39
196,19:02:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:02:39
197,19:04:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:04:39
198,19:06:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:06:39
199,19:08:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:08:39
200,19:10:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:10:39
201,19:12:40,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:12:40
202,19:14:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:14:39
203,19:16:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:16:39
204,19:18:40,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:18:40
205,19:20:40,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:20:40
206,19:22:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:22:39
207,19:24:39,18/06/2018,255,247,0,0,0,0,0,0,0,0,2018-06-18 19:24:39
208,19:26:39,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:26:39
209,19:28:40,18/06/2018,254,247,0,0,0,0,0,0,0,0,2018-06-18 19:28:40
210,19:30:39,18/06/2018,254,247,0,0,0,0,0,0,0,0,2018-06-18 19:30:39
211,19:32:39,18/06/2018,254,247,0,0,0,0,0,0,0,0,2018-06-18 19:32:39
212,19:34:40,18/06/2018,254,247,0,0,0,0,0,0,0,0,2018-06-18 19:34:40
213,19:36:40,18/06/2018,254,247,0,0,0,0,0,0,0,0,2018-06-18 19:36:40
214,19:38:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:38:40
215,19:40:39,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:40:39
216,19:42:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:42:40
217,19:44:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:44:40
218,19:46:39,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:46:39
219,19:48:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:48:40
220,19:50:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:50:40
221,19:52:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:52:40
222,19:54:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:54:40
223,19:56:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:56:40
224,19:58:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 19:58:40
225,20:00:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:00:40
226,20:02:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:02:40
227,20:04:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:04:40
228,20:06:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:06:40
229,20:08:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:08:40
230,20:10:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:10:40
231,20:12:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:12:40
232,20:14:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:14:40
233,20:16:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:16:40
234,20:18:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:18:40
235,20:20:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:20:40
236,20:22:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:22:40
237,20:24:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:24:40
238,20:26:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:26:40
239,20:28:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:28:40
240,20:30:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:30:40
241,20:32:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:32:40
242,20:34:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:34:40
243,20:36:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:36:40
244,20:38:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:38:40
245,20:40:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:40:40
246,20:42:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:42:40
247,20:44:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:44:40
248,20:46:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:46:40
249,20:48:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:48:40
250,20:50:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:50:40
251,20:52:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:52:40
252,20:54:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:54:40
253,20:56:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:56:40
254,20:58:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 20:58:40
255,21:00:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:00:40
256,21:02:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:02:40
257,21:04:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:04:40
258,21:06:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:06:40
259,21:08:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:08:40
260,21:10:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:10:40
261,21:12:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:12:40
262,21:14:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:14:40
263,21:16:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:16:40
264,21:18:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:18:40
265,21:20:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:20:40
266,21:22:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:22:40
267,21:24:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:24:40
268,21:26:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:26:40
269,21:28:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:28:40
270,21:30:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:30:40
271,21:32:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:32:40
272,21:34:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:34:40
273,21:36:40,18/06/2018,253,246,0,0,0,0,0,0,0,0,2018-06-18 21:36:40
274,21:38:40,18/06/2018,253,246,0,0,0,0,0,0,0,0,2018-06-18 21:38:40
275,21:40:40,18/06/2018,254,246,0,0,0,0,0,0,0,0,2018-06-18 21:40:40
276,21:42:40,18/06/2018,253,246,0,0,0,0,0,0,0,0,2018-06-18 21:42:40
277,21:44:40,18/06/2018,253,246,0,0,0,0,0,0,0,0,2018-06-18 21:44:40
278,21:46:40,18/06/2018,254,245,0,0,0,0,0,0,0,0,2018-06-18 21:46:40
279,21:48:40,18/06/2018,253,246,0,0,0,0,0,0,0,0,2018-06-18 21:48:40
280,21:50:40,18/06/2018,253,246,0,0,0,0,0,0,0,0,2018-06-18 21:50:40
281,21:52:40,18/06/2018,253,246,0,0,0,0,0,0,0,0,2018-06-18 21:52:40
282,21:54:40,18/06/2018,253,246,0,0,0,0,0,0,0,0,2018-06-18 21:54:40
283,21:56:40,18/06/2018,253,245,0,0,0,0,0,0,0,0,2018-06-18 21:56:40
